Linux 6.8.0-60-generic (luna) 	07/02/2025 	_x86_64_	(224 CPU)

05:49:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:49:47 PM  147   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM  148   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM  149   91.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.00
05:49:47 PM  150   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM  151   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM  152   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM  153   91.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.91
05:49:47 PM  154   91.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.91
05:49:47 PM  155   91.09    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    7.92
05:49:47 PM  156   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM  157   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM  158   91.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.91
05:49:47 PM  159   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM  160   91.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.91
05:49:47 PM  161    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  162   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM  163   91.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.00
05:49:47 PM  164   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM  165   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
