Linux 6.8.0-60-generic (luna) 	07/02/2025 	_x86_64_	(224 CPU)

12:42:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:42:19 PM   71    5.62    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   94.31
12:42:19 PM   72    5.52    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.38
12:42:19 PM   73    5.50    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   94.43
12:42:19 PM   74    5.63    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   94.26
12:42:19 PM   75    5.53    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   94.41
12:42:19 PM   76    5.86    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   94.03
12:42:19 PM   77    5.40    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.54
12:42:19 PM   78    5.72    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   94.17
12:42:19 PM   79    5.43    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.50
12:42:19 PM   80    5.55    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.35
12:42:19 PM   81    5.59    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.34
12:42:19 PM   82    5.60    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.30
12:42:19 PM   83    5.46    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.48
12:42:19 PM   84    5.77    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   94.12
12:42:19 PM   85    5.47    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.47
12:42:19 PM   86    5.69    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   94.21
12:42:19 PM   87    5.51    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   94.42
12:42:19 PM   88    5.58    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.32
12:42:19 PM   89    5.56    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.38
12:42:19 PM   90    5.84    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.06
12:42:19 PM   91    5.45    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.49
12:42:19 PM   92    5.64    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.26
12:42:19 PM   93    5.46    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.48
12:42:19 PM   94    5.74    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.16
12:42:19 PM   95    5.33    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.61
12:42:19 PM   96    5.58    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.32
12:42:19 PM   97    5.40    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.54
12:42:19 PM   98    5.78    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   94.10
12:42:19 PM   99    5.43    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.52
12:42:19 PM  100    5.86    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   94.02
12:42:19 PM  101    5.29    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.66
12:42:19 PM  102    5.54    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.35
12:42:19 PM  103    5.64    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.30
12:42:19 PM  104    5.81    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.09
12:42:19 PM  105    5.36    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.59
12:42:19 PM  106    5.63    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.27
12:42:19 PM  107    5.33    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.62
12:42:19 PM  108    5.89    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   93.98
12:42:19 PM  109    5.33    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.61
12:42:19 PM  110    5.69    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.20
12:42:19 PM  111    5.51    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.42
12:42:19 PM  112    7.71    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   92.08
12:42:19 PM  113   19.05    0.00    0.37    0.00    0.00    0.00    0.00    0.00    0.00   80.58
12:42:19 PM  114    6.28    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   93.61
